,latitude,longitude,color
0,40.750985,-74.002144,#aa000088
1,40.745677,-73.922962,#00aa0088
2,40.761167,-73.962599,#aa000088
3,40.769796,-73.966404,#00aa0088
4,40.784434,-73.94972,#aa000088
5,40.767759,-73.965644,#00aa0088
6,40.743084,-73.981475,#aa000088
7,40.720952,-73.987956,#00aa0088
8,40.764691,-73.958441,#aa000088
9,40.773355,-73.959022,#00aa0088
10,40.744387,-73.926365,#aa000088
11,40.75573,-73.97527,#00aa0088
12,40.775179,-73.976723,#aa000088
13,40.730202,-74.004916,#00aa0088
14,40.748644,-74.006225,#aa000088
15,40.73579,-73.994015,#00aa0088
16,40.713898,-74.010592,#aa000088
17,40.750105,-73.972732,#00aa0088
18,40.749516,-73.972182,#aa000088
19,40.757093,-73.980948,#00aa0088
20,40.739887,-73.994842,#aa000088
21,40.671821,-73.987647,#00aa0088
22,40.781493,-73.956518,#aa000088
23,40.76253,-73.977755,#00aa0088
24,40.763975,-73.95469,#aa000088
25,40.756565,-73.967658,#00aa0088
26,40.735052,-73.991483,#aa000088
27,40.754772,-73.983502,#00aa0088
28,40.729468,-73.996459,#aa000088
29,40.732525,-73.979987,#00aa0088
30,40.704887,-74.016373,#aa000088
31,40.73985,-74.002728,#00aa0088
32,40.764766,-73.969999,#aa000088
33,40.764353,-73.9612,#00aa0088
34,40.767444,-73.983873,#aa000088
35,40.810863,-73.952446,#00aa0088
36,40.702557,-74.012727,#aa000088
37,40.716957,-74.002152,#00aa0088
38,40.752796,-73.995165,#aa000088
39,40.749747,-73.988276,#00aa0088
40,40.761903,-73.966253,#aa000088
41,40.76831,-73.961551,#00aa0088
42,40.711328,-74.00825,#aa000088
43,40.717891,-73.936899,#00aa0088
44,40.800496,-73.966,#aa000088
45,40.788817,-73.974299,#00aa0088
46,40.748287,-73.987235,#aa000088
47,40.772385,-73.955519,#00aa0088
48,40.783309,-73.959018,#aa000088
49,40.688399,-73.985256,#00aa0088
50,40.766241,-73.965294,#aa000088
51,40.774415,-73.960021,#00aa0088
52,40.727949,-73.982231,#aa000088
53,40.722676,-73.998033,#00aa0088
54,40.726804,-73.983639,#aa000088
55,40.72511,-73.989791,#00aa0088
56,40.739528,-73.995003,#aa000088
57,40.781285,-73.983434,#00aa0088
58,40.799936,-73.968259,#aa000088
59,40.805194,-73.939471,#00aa0088
60,40.773965,-73.957345,#aa000088
61,40.782458,-73.952602,#00aa0088
62,40.725079,-73.981274,#aa000088
63,40.771992,-73.98179,#00aa0088
64,40.76952,-73.951836,#aa000088
65,40.760112,-73.979301,#00aa0088
66,40.72238,-73.999758,#aa000088
67,40.686719,-73.96606,#00aa0088
68,40.733845,-74.008488,#aa000088
69,40.661319,-73.963009,#00aa0088
70,40.741801,-73.978531,#aa000088
71,40.747461,-73.985365,#00aa0088
72,40.764265,-73.965076,#aa000088
73,40.709085,-74.005738,#00aa0088
74,40.705602,-74.006936,#aa000088
75,40.740445,-74.002021,#00aa0088
76,40.719534,-73.988948,#aa000088
77,40.724578,-73.978505,#00aa0088
78,40.750517,-73.979035,#aa000088
79,40.728302,-73.983533,#00aa0088
80,40.7591,-73.967611,#aa000088
81,40.744034,-73.974121,#00aa0088
82,40.714262,-74.009154,#aa000088
83,40.733552,-74.006417,#00aa0088
84,40.760949,-73.969212,#aa000088
85,40.783706,-73.950384,#00aa0088
86,40.760364,-73.980722,#aa000088
87,40.779787,-73.96181,#00aa0088
88,40.724449,-73.993193,#aa000088
89,40.734005,-73.981168,#00aa0088
90,40.776959,-73.977775,#aa000088
91,40.713939,-73.991667,#00aa0088
92,40.729709,-74.010208,#aa000088
93,40.784258,-73.974866,#00aa0088
94,40.765791,-73.976926,#aa000088
95,40.76221,-73.968355,#00aa0088
96,40.754093,-73.969052,#aa000088
97,40.870117,-73.882408,#00aa0088
98,40.780938,-73.981432,#aa000088
99,40.784034,-73.974362,#00aa0088
100,40.777518,-73.975051,#aa000088
101,40.754193,-73.969112,#00aa0088
102,40.75114,-73.991211,#aa000088
103,40.720732,-73.988096,#00aa0088
104,40.703378,-73.990716,#aa000088
105,40.73698,-73.995795,#00aa0088
106,40.7379,-73.999912,#aa000088
107,40.722266,-73.996782,#00aa0088
108,40.772952,-73.952229,#aa000088
109,40.740577,-73.979073,#00aa0088
110,40.772112,-73.956134,#aa000088
111,40.751046,-73.978506,#00aa0088
112,40.753448,-73.993705,#aa000088
113,40.758758,-74.002886,#00aa0088
114,40.768204,-73.981625,#aa000088
115,40.74996,-74.002656,#00aa0088
116,40.718513,-73.9875,#aa000088
117,40.751757,-73.977182,#00aa0088
118,40.751415,-73.993957,#aa000088
119,40.776518,-73.979602,#00aa0088
120,40.786127,-73.953085,#aa000088
121,40.71402,-74.014537,#00aa0088
122,40.719871,-73.99842,#aa000088
123,40.752521,-73.989531,#00aa0088
